Title,Category,Price,Rating,Availability,URL
The Last Painting of Sara de Vos,Historical Fiction,55.55,Two,In stock,../../../the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,One,In stock,../../../the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,Historical Fiction,46.83,Two,In stock,../../../girl-in-the-blue-coat_160/index.html
Between Shades of Gray,Historical Fiction,20.79,Five,In stock,../../../between-shades-of-gray_128/index.html
While You Were Mine,Historical Fiction,41.32,Five,In stock,../../../while-you-were-mine_97/index.html
The Secret Healer,Historical Fiction,34.56,Three,In stock,../../../the-secret-healer_80/index.html
Starlark,Historical Fiction,25.83,Three,In stock,../../../starlark_56/index.html
Lost Among the Living,Historical Fiction,27.7,Four,In stock,../../../lost-among-the-living_31/index.html
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,Five,In stock,../../../a-spys-devotion-the-regency-spies-of-london-1_3/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,Five,In stock,../../../scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,One,In stock,../../../tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
This One Summer,Sequential Art,19.49,Four,In stock,../../../this-one-summer_947/index.html
The Nameless City (The Nameless City #1),Sequential Art,38.16,Four,In stock,../../../the-nameless-city-the-nameless-city-1_940/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,Two,In stock,../../../saga-volume-5-saga-collected-editions-5_923/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,Three,In stock,../../../rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,Five,In stock,../../../princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,One,In stock,../../../pop-gun-war-volume-1-gift_918/index.html
Patience,Sequential Art,10.16,Three,In stock,../../../patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,Four,In stock,../../../outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,One,In stock,../../../orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,Two,In stock,../../../lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,Three,In stock,../../../lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,Two,In stock,../../../lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,Two,In stock,../../../i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,Sequential Art,54.63,Three,In stock,../../../i-am-a-hero-omnibus-volume-1_898/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,Two,In stock,../../../giant-days-vol-2-giant-days-5-8_895/index.html
Danganronpa Volume 1,Sequential Art,51.99,Four,In stock,../../../danganronpa-volume-1_889/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,Four,In stock,../../../codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,Sequential Art,17.08,Four,In stock,../../../camp-midnight_886/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,Two,In stock,../../../bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
The Shadow Hero (The Shadow Hero),Sequential Art,33.14,One,In stock,../../../the-shadow-hero-the-shadow-hero_860/index.html
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,Four,In stock,../../../fables-vol-1-legends-in-exile-fables-1_806/index.html
Batman: The Long Halloween (Batman),Sequential Art,36.5,Two,In stock,../../../batman-the-long-halloween-batman_793/index.html
Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,Five,In stock,../../../batman-the-dark-knight-returns-batman_792/index.html
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,Four,In stock,../../../wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.9,One,In stock,../../../we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
Through the Woods,Sequential Art,25.38,Two,In stock,../../../through-the-woods_772/index.html
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,Five,In stock,../../../superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,Four,In stock,../../../so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
Robin War,Sequential Art,47.82,Three,In stock,../../../robin-war_730/index.html
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,Two,In stock,../../../red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,Two,In stock,../../../naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,Two,In stock,../../../lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
El Deafo,Sequential Art,57.62,Five,In stock,../../../el-deafo_691/index.html
Batman: Europa,Sequential Art,32.01,Two,In stock,../../../batman-europa_668/index.html
Art Ops Vol. 1,Sequential Art,48.8,Three,In stock,../../../art-ops-vol-1_664/index.html
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.9,Two,In stock,../../../adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,33.95,Four,In stock,../../../fruits-basket-vol-9-fruits-basket-9_563/index.html
Roller Girl,Sequential Art,14.1,Five,In stock,../../../roller-girl_540/index.html
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,19.57,One,In stock,../../../fruits-basket-vol-7-fruits-basket-7_468/index.html
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,20.96,Four,In stock,../../../fruits-basket-vol-6-fruits-basket-6_427/index.html
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39,Three,In stock,../../../death-note-vol-6-give-and-take-death-note-6_425/index.html
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,16.33,One,In stock,../../../fruits-basket-vol-5-fruits-basket-5_376/index.html
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,52.41,One,In stock,../../../death-note-vol-5-whiteout-death-note-5_368/index.html
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,27.88,Two,In stock,../../../the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,50.44,Four,In stock,../../../fruits-basket-vol-4-fruits-basket-4_321/index.html
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,14.41,Three,In stock,../../../the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,55.55,Five,In stock,../../../the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,21.57,Five,In stock,../../../saga-volume-3-saga-collected-editions-3_216/index.html
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,43.63,Three,In stock,../../../prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,39.13,One,In stock,../../../persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html
Original Fake,Sequential Art,31.45,Three,In stock,../../../original-fake_203/index.html
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,42.72,One,In stock,../../../grayson-vol-3-nemesis-grayson-3_164/index.html
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,45.17,Two,In stock,../../../fruits-basket-vol-3-fruits-basket-3_159/index.html
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,49.31,One,In stock,../../../black-butler-vol-1-black-butler-1_130/index.html
Awkward,Sequential Art,38.02,Two,In stock,../../../awkward_124/index.html
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,54.81,One,In stock,../../../the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,11.75,Three,In stock,../../../saga-volume-2-saga-collected-editions-2_107/index.html
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,11.64,Five,In stock,../../../fruits-basket-vol-2-fruits-basket-2_100/index.html
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,18.51,Four,In stock,../../../y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,36.52,Two,In stock,../../../the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,54.12,Three,In stock,../../../the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html
The Complete Maus (Maus #1-2),Sequential Art,10.64,Three,In stock,../../../the-complete-maus-maus-1-2_62/index.html
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,42.12,Three,In stock,../../../skip-beat-vol-01-skip-beat-1_55/index.html
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,28.48,One,In stock,../../../saga-volume-1-saga-collected-editions-1_48/index.html
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,46.96,Five,In stock,../../../rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,21.71,Four,In stock,../../../paper-girls-vol-1-paper-girls-1-5_44/index.html
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,29.87,Three,In stock,../../../ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,39.39,Four,In stock,../../../ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,45.24,Three,In stock,../../../hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,56.76,Four,In stock,../../../giant-days-vol-1-giant-days-1-4_22/index.html
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,40.28,Five,In stock,../../../fruits-basket-vol-1-fruits-basket-1_21/index.html
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,34.65,Five,In stock,../../../bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,57.06,Four,In stock,../../../ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html
The Secret Garden,Classics,15.08,Four,In stock,../../../the-secret-garden_413/index.html
The Metamorphosis,Classics,28.58,One,In stock,../../../the-metamorphosis_409/index.html
The Pilgrim's Progress,Classics,50.26,Two,In stock,../../../the-pilgrims-progress_353/index.html
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,14.82,Two,In stock,../../../the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html
Little Women (Little Women #1),Classics,28.07,Four,In stock,../../../little-women-little-women-1_331/index.html
Gone with the Wind,Classics,32.49,Three,In stock,../../../gone-with-the-wind_324/index.html
Candide,Classics,58.63,Three,In stock,../../../candide_316/index.html
Animal Farm,Classics,57.22,Three,In stock,../../../animal-farm_313/index.html
Wuthering Heights,Classics,17.73,Three,In stock,../../../wuthering-heights_307/index.html
The Picture of Dorian Gray,Classics,29.7,Two,In stock,../../../the-picture-of-dorian-gray_270/index.html
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,26.78,Four,In stock,../../../the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
Beowulf,Classics,38.35,Two,In stock,../../../beowulf_126/index.html
And Then There Were None,Classics,35.01,Two,In stock,../../../and-then-there-were-none_119/index.html
The Story of Hong Gildong,Classics,43.19,Four,In stock,../../../the-story-of-hong-gildong_84/index.html
The Little Prince,Classics,45.42,Two,In stock,../../../the-little-prince_72/index.html
Sense and Sensibility,Classics,37.46,One,In stock,../../../sense-and-sensibility_49/index.html
Of Mice and Men,Classics,47.11,Two,In stock,../../../of-mice-and-men_37/index.html
Emma,Classics,32.93,Two,In stock,../../../emma_17/index.html
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,55.53,One,In stock,../../../alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html
Sophie's World,Philosophy,15.94,Five,In stock,../../../sophies-world_966/index.html
The Death of Humanity: and the Case for Life,Philosophy,58.11,Four,In stock,../../../the-death-of-humanity-and-the-case-for-life_932/index.html
The Stranger,Philosophy,17.44,Four,In stock,../../../the-stranger_861/index.html
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,54.21,One,In stock,../../../proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html
Kierkegaard: A Christian Missionary to Christians,Philosophy,47.13,One,In stock,../../../kierkegaard-a-christian-missionary-to-christians_527/index.html
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,29.93,Five,In stock,../../../at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
Critique of Pure Reason,Philosophy,20.75,One,In stock,../../../critique-of-pure-reason_366/index.html
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,20.02,One,In stock,../../../run-spot-run-the-ethics-of-keeping-pets_106/index.html
The Nicomachean Ethics,Philosophy,36.34,One,In stock,../../../the-nicomachean-ethics_75/index.html
Meditations,Philosophy,25.89,Two,In stock,../../../meditations_33/index.html
Beyond Good and Evil,Philosophy,43.38,One,In stock,../../../beyond-good-and-evil_6/index.html
Chase Me (Paris Nights #2),Romance,25.27,Five,In stock,../../../chase-me-paris-nights-2_977/index.html
Black Dust,Romance,34.53,Five,In stock,../../../black-dust_976/index.html
Her Backup Boyfriend (The Sorensen Family #1),Romance,33.97,One,In stock,../../../her-backup-boyfriend-the-sorensen-family-1_896/index.html
First and First (Five Boroughs #3),Romance,15.97,Four,In stock,../../../first-and-first-five-boroughs-3_893/index.html
Fifty Shades Darker (Fifty Shades #2),Romance,21.96,One,In stock,../../../fifty-shades-darker-fifty-shades-2_892/index.html
The Wedding Dress,Romance,24.12,One,In stock,../../../the-wedding-dress_864/index.html
Suddenly in Love (Lake Haven #1),Romance,55.99,Two,In stock,../../../suddenly-in-love-lake-haven-1_835/index.html
Something More Than This,Romance,16.24,Four,In stock,../../../something-more-than-this_834/index.html
Doing It Over (Most Likely To #1),Romance,35.61,Three,In stock,../../../doing-it-over-most-likely-to-1_802/index.html
The Wedding Pact (The O'Malleys #2),Romance,32.61,Three,In stock,../../../the-wedding-pact-the-omalleys-2_767/index.html
Hold Your Breath (Search and Rescue #1),Romance,28.82,One,In stock,../../../hold-your-breath-search-and-rescue-1_700/index.html
Dirty (Dive Bar #1),Romance,40.83,Four,In stock,../../../dirty-dive-bar-1_615/index.html
Take Me Home Tonight (Rock Star Romance #3),Romance,53.98,Three,In stock,../../../take-me-home-tonight-rock-star-romance-3_605/index.html
Off the Hook (Fishing for Trouble #1),Romance,47.67,Three,In stock,../../../off-the-hook-fishing-for-trouble-1_601/index.html
A Gentleman's Position (Society of Gentlemen #3),Romance,14.75,Five,In stock,../../../a-gentlemans-position-society-of-gentlemen-3_584/index.html
"Sit, Stay, Love",Romance,20.9,Three,In stock,../../../sit-stay-love_486/index.html
A Girl's Guide to Moving On (New Beginnings #2),Romance,31.3,One,In stock,../../../a-girls-guide-to-moving-on-new-beginnings-2_359/index.html
The Perfect Play (Play by Play #1),Romance,59.99,Three,In stock,../../../the-perfect-play-play-by-play-1_352/index.html
Dark Lover (Black Dagger Brotherhood #1),Romance,12.87,One,In stock,../../../dark-lover-black-dagger-brotherhood-1_319/index.html
Changing the Game (Play by Play #2),Romance,13.38,Three,In stock,../../../changing-the-game-play-by-play-2_317/index.html
A Walk to Remember,Romance,56.43,One,In stock,../../../a-walk-to-remember_312/index.html
The Purest Hook (Second Circle Tattoos #3),Romance,12.25,One,In stock,../../../the-purest-hook-second-circle-tattoos-3_271/index.html
The Obsession,Romance,45.43,One,In stock,../../../the-obsession_268/index.html
Reservations for Two,Romance,11.1,Three,In stock,../../../reservations-for-two_211/index.html
Best of My Love (Fool's Gold #20),Romance,27.41,Two,In stock,../../../best-of-my-love-fools-gold-20_127/index.html
Where Lightning Strikes (Bleeding Stars #3),Romance,39.77,Three,In stock,../../../where-lightning-strikes-bleeding-stars-3_96/index.html
This One Moment (Pushing Limits #1),Romance,48.71,One,In stock,../../../this-one-moment-pushing-limits-1_88/index.html
"Rhythm, Chord & Malykhin",Romance,28.34,Two,In stock,../../../rhythm-chord-malykhin_47/index.html
My Perfect Mistake (Over the Top #1),Romance,38.92,Two,In stock,../../../my-perfect-mistake-over-the-top-1_35/index.html
Listen to Me (Fusion #1),Romance,58.99,Three,In stock,../../../listen-to-me-fusion-1_29/index.html
Imperfect Harmony,Romance,34.74,Four,In stock,../../../imperfect-harmony_26/index.html
Fighting Fate (Fighting #6),Romance,39.24,Three,In stock,../../../fighting-fate-fighting-6_18/index.html
Deep Under (Walker Security #1),Romance,47.09,Five,In stock,../../../deep-under-walker-security-1_15/index.html
Charity's Cross (Charles Towne Belles #4),Romance,41.24,One,In stock,../../../charitys-cross-charles-towne-belles-4_12/index.html
Bounty (Colorado Mountain #7),Romance,37.26,Four,In stock,../../../bounty-colorado-mountain-7_9/index.html
